width,depth,trial,magnetization,square_magnetization,seconds
8,7,1,0.054931640625,-0.02581787109375,-5.0045321220000005
8,8,1,0.06640625,-0.0068359375,-5.055768249999744
8,9,1,0.010498046875,-0.00030517578125,-4.978959175000114
8,10,1,-0.066162109375,0.00531005859375,-5.593547044999809
8,11,1,-0.035888671875,-0.00286865234375,-8.644263425999839
8,12,1,0.033203125,0.0015869140625,-9.833176556999945
8,13,1,-0.03515625,-0.0177001953125,-10.92943069599977
8,14,1,0.08154296875,0.009521484375,-11.966232844999865
8,15,1,0.052490234375,0.00347900390625,-16.221046210999873
8,16,1,0.02685546875,0.0263671875,-17.995693160999963
8,17,1,-0.0458984375,0.0240478515625,-19.21714000699984
8,18,1,0.00537109375,-0.007568359375,-21.69185558900017
8,19,1,0.02392578125,0.0093994140625,-22.813556437999807
8,20,1,0.02099609375,0.031005859375,-24.597446612000056
9,0,1,0.0013020833333339255,0.0006751543209880806,-0.35318300599971053
9,1,1,0.07356770833333537,0.09153163580246981,-0.8553263050000055
9,2,1,0.12847222222221977,0.06375385802469172,-1.2514165369999546
9,3,1,0.2161458333333332,0.006462191358024935,-4.587745454000014
9,4,1,0.04861111111111129,0.0063657407407408245,-6.199872155999799
9,5,1,-0.0065104166666666505,0.0003858024691358458,-7.638871077000033
9,6,1,-0.1223958333333332,0.011381172839506098,-12.451387716999761
9,7,1,0.06901041666666677,0.0038580246913578475,-14.774888578999935
9,8,1,0.08637152777777779,0.021894290123456894,-17.711220706999597
9,9,1,0.049913194444444406,0.007040895061728433,-19.726612296999747
9,10,1,0.10394965277777785,0.0009645061728392468,-21.477980415999866
9,11,1,0.057074652777777866,-0.005497685185185314,-23.14500867699968
9,12,1,0.020833333333333367,0.002411265432098561,-24.282690789999776
9,13,1,0.011284722222222245,0.020351080246913733,-25.90989069999989
9,14,1,0.0703125000000001,0.008873456790123649,-28.91738744799966
9,15,1,0.02864583333333348,-0.0001929012345677772,-31.43005695099987
9,16,1,0.05881076388888904,0.0026041666666666713,-33.885219641999925
9,17,1,0.05034722222222221,-0.003665123456790223,-36.33440391399995
9,18,1,-0.036675347222222335,-0.0010609567901234407,-38.967452460999766
9,19,1,-0.010633680555555552,-0.023533950617284097,-41.12560641099992
9,20,1,-0.023003472222222265,0.007523148148148473,-43.48359406399982
12,0,1,0.003417968750000111,0.005018446180555469,-0.15762199699980783
12,1,1,-0.13720703125000222,-0.15671115451389145,-0.18780453399983799
